name,colour,fuel,Has_Waranty,is_private_use,is_commercial_use,brand,price_npr,transmission_type,drivetrain,make_year,mileage_kmpl,engine_cc,kilometer_run
Hyundai | i20 Active S | TDi | 2015 | Hatchback,brown,Petrol,0,1,0,Hyundai,2475000,Manual,2WD,2015,14.0,1400.0,42000
Excellent car on sale,blue,Petrol,0,0,0,Hyundai,750000,Automatic,2WD,2005,11.0,1399.0,87412
TATA 407 Container,white,Diesel,0,0,0,Tata,700000,Manual,2WD,2013,15.0,2956.0,60000
4x4 swaraj Mazda,Unknown,Diesel,0,0,0,Mahindra,600000,Manual,4WD,2017,15.0,1200.0,50000
i20 Active good for used few time,white,Petrol,0,0,0,Hyundai,375,Automatic,2WD,2019,17.0,1200.0,2400
Tata Sumo Gold 2014 GX,silver,Diesel,0,0,0,Tata,1400000,Manual,2WD,2014,12.0,2956.0,50000
Mega XL hatti gadi,brown,Petrol,0,0,0,Tata,700000,Automatic,2WD,2019,15.0,889.0,80000
Maruti Suzuki Alto 2004 On Sale,black,Petrol,0,0,0,Maruti Suzuki,580000,Manual,2WD,2004,15.0,800.0,75000
Grand i10 magna 2014,silver,Petrol,0,0,0,Hyundai,1845000,Manual,2WD,2014,15.0,1200.0,31000
Blue colour 2016 model Baleno,blue,Petrol,0,1,0,Maruti Suzuki,2050000,Automatic,4WD,2016,17.0,1200.0,41000
WagonR Sell or Rent,Unknown,Petrol,0,0,0,Maruti Suzuki,1025000,Manual,2WD,2008,20.0,1200.0,43000
2010 model red color santro zinc for sale,red,Petrol,0,1,0,Hyundai,1350000,Manual,4WD,2010,15.0,1100.0,4200
Mahindra cabking,Unknown,Diesel,0,0,0,Mahindra,1250000,Manual,2WD,2018,15.0,1200.0,50000
2011 model ko kia sportage sales & exchange offer,Unknown,Diesel,0,0,0,Kia,3250000,Manual,4WD,2011,15.0,1200.0,50000
"2015 model bolero 7 seater 4wd,powerstering sale",silver,Diesel,0,0,0,Mahindra,1950000,Manual,4WD,2015,15.0,2500.0,65000
à¤¬à¥ˆà¤‚à¤• à¤¸à¥à¤¬à¤¿à¤§à¤¾ à¤­à¤à¤•à¥‹ à¤¸à¤¸à¥à¤¤à¥‹ à¤•à¤¾à¤° à¤¸à¤™à¥à¤— à¤ªà¤¨à¤¿ à¤¸à¤Ÿà¥à¤Ÿà¤¾ à¤ªà¤Ÿà¥à¤Ÿà¤¾,silver,Electric,0,0,0,Mahindra,3200000,Manual,2WD,2019,15.0,2100.0,61000
Hyundai I20 Active Diesel 2015,brown,Diesel,0,0,0,Hyundai,2500000,Manual,2WD,2015,14.0,1400.0,42000
Isuzu Vcross 2019,white,Diesel,0,0,0,Other Brands,5100000,Manual,4WD,2019,15.0,2499.0,51000
Mg Zs Ev 2021 On Sale,red,Electric,0,0,0,Other Chinese Brands,5300000,Automatic,2WD,2021,300.0,105.0,12200
Niro,white,Electric,0,0,0,Kia,5800000,Automatic,2WD,2019,15.0,1200.0,9000
Hyundai i10 Magna 1.2 2010 model,Other,Petrol,0,0,0,Hyundai,1350000,Manual,2WD,2010,15.0,1200.0,50000
Like a Brand New Grand i10 sports 0 Push Bottom,red,Petrol,0,0,0,Hyundai,2350000,Manual,2WD,2017,14.0,1197.0,7000
Fore Sale Grand I10 Magna,silver,Petrol,0,0,0,Hyundai,1850000,Manual,2WD,2014,14.0,1200.0,45000
Kia Rio 2011 Model Best Condition,Other,Petrol,0,0,0,Kia,1430000,Manual,2WD,2011,18.0,1399.0,59000
Hundai Grend I 10 2019 model Sportz,grey,Petrol,0,0,1,Hyundai,2600000,Manual,2WD,2019,13.0,1200.0,18300
Hyundai Creta | Model - 2017 | Diesel,white,Diesel,0,0,0,Hyundai,3750000,Manual,2WD,2017,21.4,1582.0,42000
TATA BOLT RT XM,white,Petrol,0,0,0,Tata,1780000,Manual,2WD,2017,15.0,1193.0,50000
Santro 2010,silver,Petrol,0,0,0,Hyundai,1360000,Manual,2WD,2010,15.0,1100.0,53000
urgent sell,silver,Petrol,0,0,0,Tata,950000,Automatic,2WD,2013,10.0,1400.0,50000
Car on sale,grey,Petrol,0,1,0,Maruti Suzuki,2650000,Manual,2WD,2017,18.0,1200.0,29000
Toyota hilux revo 2018 sell or exchange,silver,Diesel,0,1,0,Toyota,7850000,Manual,4WD,2018,12.0,1200.0,42000
Datsun Go on sale,blue,Petrol,0,0,1,Datsun,1275000,Manual,2WD,2016,16.0,1200.0,48000
Nissan navara le,red,Diesel,0,1,0,Nissan,2400000,Manual,4WD,2010,10.0,2500.0,75000
Sentro fresh condition,blue,Petrol,0,1,0,Hyundai,1300000,Automatic,2WD,2009,18.0,1086.0,80000
Ford Ecosport for sale,grey,Petrol,0,0,1,Ford,2950000,Manual,2WD,2017,17.0,1500.0,26000
One Week Offer Price Fiat Avventura Dynamic 2016..,red,Petrol,0,0,0,Fiat,1550077,Manual,2WD,2016,15.0,1368.0,57000
Hyundai Venue 2021 like Brand new on Sale,white,Petrol,0,0,0,Hyundai,3525000,Manual,2WD,2021,18.0,1200.0,13750
Scorpio S4+,silver,Diesel,0,1,0,Mahindra,3450000,Automatic,4WD,2016,15.0,1200.0,50000
FORD IKON FULL OPTION FRESH N SMOOTH,grey,Petrol,0,0,0,Ford,550000,Manual,2WD,2003,15.0,1299.0,52000
Ford Figo,white,Petrol,0,0,1,Trend,1500000,Manual,2WD,2016,14.0,1200.0,70000
"Fully fresh, excellent condition, tax cleared",Unknown,Petrol,0,0,0,Hyundai,640000,Manual,2WD,2002,15.0,1086.0,50000
Kia sportage AWD 8air bag fully looded for sale,brown,Diesel,0,0,1,Kia,3250000,Manual,4WD,2011,13.0,2000.0,67000
car sell,Unknown,Diesel,0,0,0,Nissan,550000,Automatic,2WD,1997,15.0,1200.0,50000
2023 Nissan Magnite XE,brown,Petrol,0,0,0,Nissan,3399000,Manual,2WD,2023,15.0,999.0,50000
Spark,golden,Petrol,0,1,0,Chevrolet,575000,Manual,2WD,2007,12.0,1200.0,50000
i20 activeS2016 just like brand new exchange offer,Unknown,Petrol,0,0,0,Hyundai,2850000,Manual,2WD,2017,15.0,1200.0,38000
wagonar bikrima,red,Petrol,0,0,0,Maruti Suzuki,1050000,Manual,2WD,2010,15.0,1086.0,75000
santro bikrima,white,Petrol,0,0,0,Hyundai,1050000,Manual,2WD,2007,14.0,1086.0,71000
ZEN 2006,Other,Petrol,0,0,0,Maruti Suzuki,749000,Manual,4WD,2006,16.0,1000.0,74000
Creta SX 2019 Like new,white,Petrol,0,0,0,Hyundai,4300000,Manual,2WD,2019,14.0,1600.0,24000
Wagon R 2009,Unknown,Petrol,0,0,0,Maruti Suzuki,895000,Manual,2WD,2009,15.0,1200.0,50000
2010 i 10 MAGNA,blue,Petrol,0,0,0,Hyundai,1400000,Manual,2WD,2010,15.0,1200.0,39888
Hyundai Accent 2006 Narayani Number,Unknown,Petrol,0,0,0,Hyundai,550000,Manual,2WD,2006,17.0,1400.0,50000
Honda Jazz 2016 model,white,Petrol,0,0,1,Honda,2350000,Manual,2WD,2016,15.0,1200.0,34200
maruti suzuki ZEN LX,silver,Petrol,0,0,0,Maruti Suzuki,475000,Automatic,2WD,2002,18.0,1000.0,70000
Truck for sale,orange,Diesel,0,0,1,Tata,1825000,Unknown,Unknown,2017,15.0,1200.0,50000
School Bus On Sale,yellow,Diesel,0,0,1,Unknown,2100000,Manual,2WD,2016,10.0,3700.0,30000
Single hand Honda Jazz VMT Fully Loaded,Other,Petrol,0,0,1,Honda,2450000,Manual,2WD,2016,12.0,1200.0,30000
TATA 709 EX SCHOOL BUS,yellow,Diesel,0,0,1,Tata,700000,Automatic,2WD,2012,5.0,3783.0,60000
Nissan sunny 2014 full option sedan for sale,grey,Petrol,0,0,0,Nissan,1599999,Manual,2WD,2014,15.0,250.0,42500
Nissan kicks XV 2021,grey,Petrol,0,0,0,Nissan,4499999,Manual,4WD,2021,3800.0,1200.0,3700
Haval H6 AWD 2021 Top Version,Other,Petrol,0,0,0,Great Wall Motors,9700000,Automatic,4WD,2021,15.0,1200.0,16777
ford figo 2016,Unknown,Petrol,0,0,0,Ford,1550000,Manual,4WD,2016,15.0,1200.0,50000
Volkswagen Polo 1.6,grey,Petrol,0,0,0,Volkswagen,1650000,Manual,2WD,2011,12.0,1600.0,55708
kia pincato 2010 full option,grey,Petrol,0,1,0,Kia,9750000,Automatic,2WD,2010,18.0,1200.0,57000
ELECTRIC CAR FOR SALE! BRAND NEW E VERITO,grey,Electric,0,0,0,Mahindra,2050000,Automatic,2WD,2020,160.0,1200.0,6000
Hyundai Santro Fresh 2011,silver,Petrol,0,1,0,Hyundai,1400000,Manual,2WD,2011,14.0,1084.0,57560
golden chance 2015 model i20 active s car on sale,Unknown,Petrol,0,0,0,Hyundai,2299999,Manual,2WD,2015,15.0,1200.0,50000
2014 Honda City,red,Petrol,0,0,0,Honda,2099000,Manual,2WD,2014,15.0,1200.0,55000
2014 Honda City on Sale,red,Petrol,0,0,0,Honda,2099000,Manual,2WD,2014,16.0,1200.0,55000
Swift ZXI 2009 9823584566,grey,Petrol,0,0,1,Maruti Suzuki,1425000,Manual,2WD,2009,13.0,1300.0,70000
TATA INDIGO MANZA LX,white,Diesel,0,0,0,Tata,1400000,Manual,2WD,2014,18.0,1248.0,60000
Sonalika tractor,blue,Diesel,0,0,0,Other Brands,1250000,Manual,2WD,2020,15.0,1200.0,50000
Volkswagen Polo,white,Petrol,0,0,0,Volkswagen,1480000,Manual,2WD,2012,15.0,1200.0,50000
"Swift Vxi 2017 model, single hand",silver,Petrol,0,1,0,Maruti Suzuki,2000000,Automatic,2WD,2017,16.0,1200.0,35200
2022 Kia seltos HTK+ imt semi auto,white,Petrol,0,0,0,Kia,5200000,Manual,2WD,2022,15.0,1500.0,6700
5lakh cash ma ramro vhanda ramro gadi chahiyo?,Unknown,Petrol,0,0,0,Other Brands,500000,Unknown,Unknown,2005,15.0,1200.0,50000
"Tata Motors, Winger,2017, Yellow , 14 Seats",yellow,Diesel,0,0,1,Tata,2100000,Manual,2WD,2017,15.0,1948.0,93726
Maruti Suzuki swift,silver,Petrol,0,1,0,Maruti Suzuki,1950000,Automatic,2WD,2013,13.0,1200.0,47000
hurry hurry aayo compass limited jeep xito xito xi,cream,Diesel,0,1,0,Jeep,8000000,Manual,2WD,2021,17.0,1956.0,9500
Opel corsa 1.4,silver,Petrol,0,0,0,Other Brands,375000,Manual,2WD,2000,10.0,1400.0,71000
Maruti suzuki Astar,Unknown,Petrol,0,0,0,Maruti Suzuki,920000,Automatic,2WD,2009,15.0,1200.0,70000
"Nissan X-trail, 2010, beige colour, diseal",Other,Diesel,0,0,0,Nissan,3200000,Manual,4WD,2010,15.0,2000.0,70000
Skoda Khushaq,silver,Petrol,0,0,0,Skoda,5500000,Manual,2WD,2021,15.0,1000.0,24800
Kia Seltos auto 2021,white,Petrol,0,0,0,Kia,5750000,Automatic,2WD,2021,10.0,1500.0,14500
hyundai eon era +,blue,Petrol,0,0,0,Hyundai,1175000,Manual,2WD,2013,15.0,800.0,32000
Brezza Zxi+ Petrol 2021 Model,silver,Petrol,0,0,0,full Options,4125000,Manual,2WD,2021,16.0,1500.0,12000
